QqSHkeSImAMFSKV,Intelligence,4518,4889
wzrRBS,Intelligence,1759,9498
ZesDVHFxSMwGotMYMErM,Intelligence,7680,740
EgmLoEZEW,Intelligence,3351,9243
PSxpDboHkNVlpJ,Strength,4963,8671
TvpOTATi,Intelligence,4116,3446
fKvcKRGpeXjYijXs,Intelligence,2463,625
LxrSzseCPpvT,Strength,314,253
AgQqujGh,Strength,6997,2891
BTTOBpR,Agility,5122,4266
GWookRX,Intelligence,2242,1371
EKSNCSJJVNMNuTcvZpsC,Intelligence,5468,4753
wlaClloLqbuKpnx,Agility,5891,9086
AMZSryXClyDeqGa,Intelligence,6900,1923
IDOXpvVARye,Intelligence,5279,8294
BjSjFQNS,Intelligence,9102,1949
VBQqWOkfVxWSME,Strength,4476,7685
qCjrxlpB,Agility,5390,8045
afFBmAeaFyVYmLxT,Strength,3746,219
OCFqXZVstyP,Agility,5858,2494
qKvNCZhYBYmlwBga,Agility,8630,2854
qRLBF,Strength,2513,25
ZnhxZKGwTEr,Strength,1877,4076
VsKMgKVhIoNTmIjMz,Strength,1448,659
beXMGHntDJVUDWK,Intelligence,4706,3491
VJYWZGldtQrnXPOnVfOQ,Strength,4030,4736
wxZTcZiIOlgg,Strength,7199,777
qnoVCfF,Intelligence,8924,280
aLPbifnnNUQ,Agility,8359,5669
vKfSuiMy,Agility,9632,7124
AfwVtslt,Agility,4231,2966
wPcOGhxkKrdFRRh,Strength,5201,8767
vjbeqpOwvN,Intelligence,6467,7668
ptrYorZ,Strength,5229,7802
fXAOQruY,Strength,9750,4957
YkEwQSJSsTPfKy,Strength,642,4800
KloNjK,Strength,1546,1546
IOCKubeE,Strength,9379,7695
HNxWXSjjSUvYeEf,Agility,9909,8367
OfiDOLgTNEMAKmhJ,Intelligence,6565,8172
rVZtKUStEZVGDCjr,Intelligence,1959,2327
pgnAgglLRdlsrYFm,Agility,7276,2105
mDGBApfMufv,Agility,8146,8078
SKkMtFVApdaixcr,Intelligence,5150,3871
OsMhWBUwRkIxk,Intelligence,7233,9610
QkRDHehevxaOnJ,Intelligence,2086,4755
ummRQD,Agility,3449,2526
mpKUqcZggpti,Intelligence,3213,8706
SODUBKLdfqfFEqPrB,Agility,8147,8917
oGpuqOiEi,Agility,7237,856
AGXHchErmZID,Intelligence,8153,3973
UCYXan,Strength,8808,3495
qSfRwKhyCAwMwbjl,Strength,3801,2580
JQfThHCZbC,Strength,5697,7928
yHDadvIMTqhZrn,Agility,8256,3899
oJodHzSIFljCckCrPz,Intelligence,2840,6088
NzDubfzIDm,Intelligence,4375,678
SsyCsbtmPjqYevUmQ,Strength,5345,5691
xPIbkNfgsGp,Intelligence,5872,2653
wTnMCgq,Strength,1313,4774
JBdSpkesCFtoQsnpsA,Agility,4462,1692
RIIGDXSVU,Strength,5255,7324
CQVXxyM,Intelligence,9768,2610
CBlbaqr,Strength,8087,1481
aBOLvuOChWC,Agility,1048,3011
uxLOBHzhfUBI,Agility,9846,4902
rQIBCRMoAKcQunAyQ,Agility,4648,8843
ECzLpws,Agility,5623,6569
VynqspDadNrElNx,Intelligence,1541,9544
aIYMrkGEODc,Strength,8404,1069
GjagSCMOEAYTZCacTG,Agility,2284,3252
RaSaTpsAwCSor,Strength,7063,1062
JuaeogfXhB,Intelligence,7429,455
sBEBjgaIzyvY,Intelligence,9998,9549
UfHgqjQHQfIAskfIH,Intelligence,3077,9575
rBabqbiPioXUYgNcR,Agility,9353,4944
soRQryfVhfhin,Agility,4880,1705
kQgZbAeWeUpeGTzCbNR,Agility,4321,1882
eHtawdeMaJyGbLVi,Intelligence,3188,6592
BPiMzvghtsANwqtNy,Agility,6296,8972
VQNRQCKPPbKefaQiO,Strength,8860,826
CDiKmfruVaIqVTiQw,Agility,5360,1128
Audar,Intelligence,8127,6846
LaDnvbRQbPLJsS,Agility,8030,1104
ugIcbZMnyZGgciVGZFk,Intelligence,9652,6411
iGarscDUkofta,Intelligence,1279,2883
CzmsdBCrXHV,Agility,521,9054
xMPkAHQOkLXoMGyHNH,Agility,6812,2500
JCzNcPmRZmulaUuB,Intelligence,1108,8429
bNFatjQ,Intelligence,4983,4875
GoEGgQhanXxiDtc,Intelligence,6361,61
clmbuDtST,Agility,6583,61
qMRxYLEIXttPf,Intelligence,9330,7360
SDFonnaCFRvdYdOsJUDr,Agility,6324,9702
fzrSLmMI,Strength,8263,8769
CDQxDmECxmOWui,Strength,7556,1533
cdPgxXytDvwcyBEBgOC,Agility,5179,6850
UvVUszvvaIJ,Intelligence,6847,8010
IfdesnBXYhiwrjClnA,Agility,3377,8000
SItPobiM,Agility,3433,8848
